ID,MatchID,PlayerID,Time,Type,AssistingPlayerID
1,1,18,29,R,20
2,1,28,55,P,0
3,1,26,57,R,28
4,2,18,73,R,0
5,3,28,17,R,0
6,3,18,40,R,0
7,3,26,57,R,18
8,3,31,77,R,26
9,5,26,30,R,20
10,6,26,15,R,32
11,6,32,23,R,0
12,6,17,68,R,31
13,7,32,29,R,0
14,9,26,24,R,17
15,10,31,50,R,0
16,10,28,58,R,7
17,10,16,75,R,26
18,11,26,21,R,11
19,11,11,24,R,0
20,11,23,56,R,0
21,11,26,75,R,11
22,12,26,31,R,16
23,12,26,41,R,32
24,12,32,68,R,0
25,13,26,65,R,23
26,14,18,17,R,27
27,14,26,77,R,18
28,14,26,83,R,0
29,15,20,30,R,32
30,15,28,31,R,32
31,15,28,48,R,26
32,15,32,87,R,0
33,15,33,89,O,0
34,16,26,42,R,8
35,18,32,20,R,13
36,18,6,26,R,28
37,18,26,44,R,23
38,18,28,66,R,28
39,19,32,26,R,0
40,19,26,52,R,28
41,19,28,71,R,20
42,20,32,6,R,26
43,20,28,52,R,32
44,20,12,65,R,0
45,20,28,66,R,26
46,20,23,82,R,0
47,21,26,52,R,18
48,21,26,76,R,7
49,22,18,61,R,0
50,22,9,94,R,6
51,23,23,9,R,28
52,23,28,59,R,23
53,23,18,61,R,26
54,23,26,68,R,0
55,25,20,26,R,0
56,25,28,45,R,18
57,25,26,78,P,0
58,26,26,3,R,0
59,26,26,91,R,0
60,27,28,6,R,26
61,27,26,42,R,28
62,28,20,29,R,26
63,28,26,51,R,23
64,28,28,57,R,20
65,28,18,77,R,13
66,29,26,40,R,23
67,29,18,55,R,28
68,30,34,66,O,0
69,31,26,4,R,18
70,31,26,43,R,13
71,31,28,49,R,26
72,31,26,77,R,18
73,31,26,85,R,0
74,32,18,49,R,7
75,32,26,84,R,13
76,34,18,7,R,0
77,34,26,69,R,12
78,34,28,90,R,21
79,35,29,4,R,16
80,35,26,72,R,23